ID,explain_diff,classification_diff
R_3NVrfRHHDVkbB8a,"I allocated the same amount of money and oatmeal packets. Even though they are different items, the principle is the same. if one person gets more then it is unfair",SOCIALNORM
R_7rwuBZKiWQup25E,i allocated the same amount for both of them. they are both somewhat material things and since we are just two people who got the combined total we should each just take half and move on with our days,SOCIALNORM
R_3U4qs6MoQxcDN6w,I just split everything in half at 5-5. I just thought that splitting it was the fairest option.,SOCIALNORM
R_6pQA102t0EL3gXM,Giving a split amount in most things is the most fair way to go and I don't need optimal amounts of these things so splitting them is no problem with me and there should be no problems over these types of things so going in even to me is the best way possible.,SOCIALNORM
R_56P3YhzJ91TIhj3,I gave an even amount of both (50/50) split. neither are that valuable to me and I think it's fair. I would hope my partner did the same thing.,SOCIALNORM
R_17wKBxjT2yFQIWG,"I gave the same proportion of money and brown sugar because I do not know the other person's needs and would rather be equal in this exchange. If I had known their preferences and wants more, I would have given up more.",SOCIALNORM
R_52a2mT5Ujyd6SsF,"I allocated the SAME proportion of money and ballpoint pens to the other participant because it seemed like the best and fair situation. I don't know any of the other participants and I am not greedy, so this seemed like the best option.",SOCIALNORM
R_6jesfZ5JS3w47EO,"I gave more money because it's not a big deal and $10 could be helpful to someone. I chose to split the pens because pens are helpful, but having a surplus doesn't have much of a benefit.",SATIATION
R_1PuXbHrkwqFNFuN,"I mean at the end of the day the ballpoint pens and money are kind of the same. Because there's no reason to split either one a certain way, might as well split it down the middle and give each person 50%.",SOCIALNORM
R_77wnZMeYrFmliGK,"I allocated a lower proportion of money than of ballpoint pens to the other participant as I do not need any more pens, but a few dollars would be beneficial to me. If I wanted pens, I would have split it evenly. Since I did not want any pens, I gave them all away.",SATIATION
R_1owegpSVb9t0FTA,They didn't have that much value to me 10$ and 10 ballpoint pens don't hold that much value. It just made sense to split them both evenly since there was an even amount.,SOCIALNORM
R_6hB8WIyXKXQ9enL,"I allocated the same number of pens as money to myself and partner because it is to me the most logical and fair way to split something we have both been offered, even if I am the one splitting them. Also, it feels like it is the only right answer as anything else would need an explanation as to why the split was different.",SOCIALNORM
R_7GByqCGVgjkLwSY,"I gave the pens away because I do not need 10 pens, I do however need the money so I kept 9 for me and gave them 1 because I felt bad.",SATIATION
R_7ZPPWyD7LaqvKr7,I allocated the same proportion of money as ballpoint pens because it would be unfair to switch up the proportion.,SOCIALNORM
R_3Qxs4wDAJZNTrBr,"same, cause 2 people get the same quality, with no argument",SOCIALNORM
R_1Izs124gCTzLqLq,Again this is just the right thing to do.,SOCIALNORM
R_7RaFFxIPEOJoa7i,"I allocated the same proportion of money as of ballpoint pens because that is what I felt was fair. We are partners in this study, and I didn't need all of the items, so I decided we could split it.",SOCIALNORM
R_5QS4jRX3qahVSjn,"they are both things given to us regardless of how we performed/acted, and they were given  to the group. it makes sense to split it between us both evenly.",SOCIALNORM
R_5Ncn9VRWGVGo2Cl,I did the same because I would rather us both have the same amounts than one person having more than the other person,SOCIALNORM
R_5zKILD6GB8bLMXf,"I allocated the same because whether it is a monetary or random good, we are both deserving of the same amount out of fairness to each other. I would expect that my partner would do the same out of fairness that it is equal.",SOCIALNORM
R_1CaCkVfoe6JcvZv,I allocated the SAME proportion of money and ballpoint pens to the other participant because I saw no reason as to why I should take all the money or why I should take all the pens. With the money we both gained something fiscally. With the pens it made us both equally ready in case we needed them.,SOCIALNORM
R_66fh3PITLpNaKWI,I allocated the same number of money and pens because that is the right thing to do. If we are given something we should split it evenly.,SOCIALNORM
R_6BIfMXfAyE8fHm9,"no matter what the item is, i would always split evenly to ensure it is fair and everyone is as happy as can be",SOCIALNORM
R_71cIali32krfPjS,I allocated the same proportion to keep things fair and equal. I don't really care to have 5 pens but I might as well split it equally because my partner may not care to have like 9 pens for example.,SOCIALNORM
R_6IjixZHQf4wh6Fz,I allocated a lower proportion of money than ballpoint pens. This is because money has more value to me than pens.,DESIRABILITY
R_6wFSlXwjK1dhu0o,"I allocated the same because it is fair. I can see how someone may have chosen to allocate more money to themselves than pens, but overall even distribution makes the most sense to me.",SOCIALNORM
R_7FFzvVGhril1ZOS,"I allocated a lower proportion of pens to the other participant, because I don't think that participant needs or wants that many pens and would probably allow them to go to waste. If they truly needed them, they could always ask for more, but it's important to use your resources only when needed and not waste them or buy and pick something you're not going to use completely.",PERISHABILITY
R_7oI3SIxeT9kjqu6,"If I allocated less money there would be more conflict, because what did I do to deserve more money. It should be a fair number all the way through. Depending on the kind of person they are they'd accept more than 5, but personally I would give back the difference to keep it 5 and 5.",SOCIALNORM
R_3Du32NZXlwkOgYc,I gave the same of each because it is the most reasonable way to distribute them.,SOCIALNORM
R_5e4f0PoBxZsWADp,I allocated the SAME proportion of money as of ballpoint pens to the other participant because it will be fair for everyone in this situation.,SOCIALNORM
R_3HTVuLppb6n19tO,"I think we both deserve the same amount because based on the information given, both deserve the findings equally. They seem mutually discovered, therefore, I believe the right thing to do would be to split the winnings.",SOCIALNORM
R_6LnA4wpJ6f61RHP,I allocated a lower proportion of money than ballpoint pens to the other participant because with money I can use to do things that I want to do or get things that I need for myself. With ballpoint pens I can't do that.,FUNGIBILITY
R_5RUL6JSeeKlxhPi,"I allocated the same proportion of money and pens, which was 1/2, because it seemed the most fair to me. If I had background knowledge about my partners needs or wants then my answer might have changed, but without that this outcome seems fair.",SOCIALNORM
R_5vJRWS9fAAfbizT,"again, just not wanting to make a bad impression on them I wanted to keep it fair and even. I wouldn't be mad if they gave me less but I would think it's a bit odd just since I don't know them.",SOCIALNORM
R_5Rxf6swqTpgn7eu,I believe that for both the money and the pen we should have an equal distribution because I'm not sure if the other person needs the money/pens more or less than I do. If I knew they needed them less or more than me then I would change my answer to reflect that information.,SOCIALNORM
R_3PuaMLk5FFFTuLr,i split the money evenly becaue we can use it on whatever we want but the pens arent able to be used for anything other than writing and i really did not need all of them.,SATIATION
R_5KDzKmKIqlJ7CVI,"I allocated the same proportion of money as of ballpoint pens to the other participant. Especially because we do not know each other well, splitting it 50/50 just seems like the right thing to do.",SOCIALNORM
R_1GDmg0yWgrk7XpC,I allocated the SAME proportion because it is fair and neither one of us gave an incentive to have more money than the other.,SOCIALNORM
R_1pRIUcBLkzBGslq,I allocated the same proportion of money and pens to the other participant. This is because I feel the easiest way to divide them is through an even 50/50 split. I don't know the other participant and have no general like or dislike towards them. The pens and cash were of too little value to me where I felt I didn't need to act selfishly and take them for myself.,SOCIALNORM
R_7OquNTHMsxHHSLZ,I allocated the same proportion of pens and money to the other participant. I did this because I felt it was the most just and fair way to do it. I believe both of us would leave happy.,SOCIALNORM
R_32Muq6Y6gnckZL0,"Because money is valuable and I can buy things with that. It was more thinking about myself. ballpoint pens are useful but, I am also happy to share those",FUNGIBILITY
R_1CQhqeTbClkGsdR,I allocated the SAME proportion of money as of ballpoint pens to the other participant to help ensure no one is upset with the results. I would not feel right giving myself more money or pens than the other participant.,SOCIALNORM
R_5KvjkATw8t7EM5b,"I chose to evenly split the money because money has more value than pens. I felt that splitting it evenly would be more fair compared to the pens where they don 't hold as much value. So if someone got more pens, it wouldn't be seen as unfair compared to if one person got more money.",SOCIALNORM
R_5uNInxm1rUOiqNC,the reason I allocated a lower portion of money than the ball point pens is to me splitting the money 50/50 seems fair but giving him the larger portion if the pens is better cause he will probably use them more than me,SOCIALNORM
R_5004ViwSyLxP5GV,I ended up splitting evenly for both. I don't see myself as the kind of person to keep everything for myself.,SOCIALNORM
R_72Y2IeZHOXIYibc,I allocated a lower proportion of the money than of the pens because I assume that I had earned the money and was given the pens. I am keeping my earnings because I worked for it.,SATIATION
R_6duFgQKXoXHcn0S,"I allocated the same money and pens to each of us. I don't know what my partner would want more, money or pens. Giving us both the same amount just makes sense.",SOCIALNORM
R_1JeN4JJriYnl5Ti,I allocated a lower portion of the money than the pens because money is far more valuable than pens.  I also have a lot of pens so getting more doesn't provide me with as much value as getting $10.,SATIATION
R_6vZYpEt1i30i9RO,"I think that sharing things equally is the best way to go in most situations. For the 10 dollars and the ball point pens, I didn't see a huge impact with keeping everything to myself, which is why I decided to split it evenly. This way we both got to experience the goods equally.",SOCIALNORM
R_3o25g8pqp0o6zAS,I allocated the SAME proportion of money as of ballpoint pens because it enables both of to collect pens and money. We mutually benefit and maintain a relationship of mutual respect and fairness. Allocating equally bodes well for future endeavors as well as benefitting us equally immediately.,SOCIALNORM
R_1jcb4o3YdMmlqG5,It would be fair if we got the same number of pens. We each get 5,SOCIALNORM
R_6jqwPYzTBXDPlgB,Money is more valuable than pens in my opinion. This led me to keep more money for myself.,DESIRABILITY
R_1PBdvqh30rzB7Vh,I allocated the same proportion of money as of ballpoint pens to the other participant because I care about doing things for the sake of fairness. Making it easy for me to want to split things evenly in both scenarios.,SOCIALNORM
R_1N9YK0Ms5Qn24O0,"We both can probably find uses for the pens, and it's also fairest to split them evenly",SOCIALNORM
R_5LYwXdzgCScn7hW,"I allocated it the same for the both of us out of the simplest reasons, fairness. I believe that is it always fair when given the choice to split anything down the middle, so both or multiple people get the same amount.",SOCIALNORM
R_3rJOtojXi51bfIv,"I chose to give the other person a higher number of pens. I did this because I have no need for pens, but could use the $10.",SATIATION
R_5dArMuO15CPgMKr,"I allocated the same proportion because I wanted to be as fair as possible. In my eyes, being fair means splitting the total number evenly. Thus, since there were 10 ballpoint pens and $10, my immediate solution was just to give her half and give myself the other half.",SOCIALNORM
R_5HqvU7MEp91kr7a,"I allocated the same proportion of money as of ballpoint pens to the other participant because it seems fairest to do so. I consider myself a fair and giving person, so there's no need for me to keep everything for myself, especially if this other participant witnessed me receiving these items.",SOCIALNORM
R_65FV7Anb2apCFek,i allocated the same proportion of money as of ballpoint pens because i thought that it would be best to evenly distribute the money,SOCIALNORM
R_7v2336zpdg3pC4x,"I allocated the same amount as myself, because for the pens I do not need all 10 and maybe they are in need of one. For the 10 dollars, I would feel selfish keeping it all and would feel better just giving away 5.",SOCIALNORM
R_1cjysXzNynGbFdq,"I allocated the same proportion of money as of ballpoint pens to the other participant because both should be split in half. If we didn't do anything special to win the money or pens, we both should just get the same amount.",SOCIALNORM
R_1jYvCR85auzyVDa,I would want my partner to split everything even with me so I may as well do the same.,SOCIALNORM
R_5nCKgQjT8UgRTwt,I gave him more pens because it is something I know I won't use as much so I might as well let him benefit from that. The money I will use but it is fair to split it.,SATIATION
R_60Iuo2PXsDFtFKQ,I chose to split it evenly. I did this because that's the fair way.,SOCIALNORM
R_1q7Jr2YjkezRR2w,"I allocated a lower proportion of money than of ballpoint pens. I wouldn't mind giving the same proportion, but since I was given the choice, I knew that I would put the money towards good use. Even though it's a small sum of money, I think it's just principle that I would want the freely given money to be used well. Since I just met my partner, I had no idea what that would've gone towards. But the pens I didn't care as much about because who cares how someone uses a pen.",FUNGIBILITY
R_7G6rdXvb2WE9i7F,I did 5 and 5 for both. I wanted it to be equal.,SOCIALNORM
R_7mW8gPkze59IeE6,Money is more valuable to me than ballpoint pens so I'm less inclined to share.,DESIRABILITY
R_5LLmwpU9G1WTwdg,I wanted fewer ballpoint pens because they are relatively useless and create clutter in my bag. I wanted more money simply as it was a side effect of splitting the 10 dollars evenly as I felt that to be the fairest.,SATIATION
R_7zIs6w72BGyCuK5,I gave more always to the other person. I like to help others out and that's what I did. If by giving them more actually helps them then by all means do it.,SOCIALNORM
R_13Mems8JdCBG3XX,Same portion of money as ballpoint pens because again it just seemed like the nice thing to do.,SOCIALNORM
R_1nnoY3uohywtQ6R,We both did the same work at the BRC today. There is no reason why one person should benefit more than the other.,SOCIALNORM
R_3EWduXOxjyk26u2,I allocated the same amount since it does not matter what I have to allocate. I got it in the study that we did together so we share fairly.,SOCIALNORM
R_57AAiru2ik2O9Vf,I was even split and shared evenly across the board.,SOCIALNORM
R_33gyivh9W8nnve7,I allocated the same amount for both of us because it was the nice and proper thing to do.,SOCIALNORM
R_12nWCBToMTvHzUd,I allocated the same proportion of both because it makes things easier. Splitting in half both made it so both of us receive something.,SOCIALNORM
R_5Q6kI007juCSTtx,"I allocated the same proportion of money as of ballpoint pens to the other participant because I knew she would know how much I got initially. So, I wanted to make it fair and even. I don't really need the money or pens, and I am not sure if she does, so we can just split it in half and go from $0 and 0 pens to more.",SOCIALNORM
R_5sUdSEAJx37b50a,"I allocated a lower proportion of money than of ballpoint pens because I can use the money to get a snack or something more of value. With ballpoint pens, we can each have an equal amount because I do not care as much but I still use pens a decent amount.",FUNGIBILITY
R_6dIfH3gLe29ihLH,I gave the other participant a lower amount of money because I felt it was right to split it evenly. I gave them more pens because I am not interested in having extra pens for myself.,SOCIALNORM
R_3Dbvrz3vTEnCudu,I allocated a higher proportion of pens because pens have zero worth to me while 10$ is $10.,SATIATION
R_3QJHEs8JgURm8WF,"I allocated the same proportion of money as ballpoint pens because to me, they are nice things to have but possessing them won't make too much of a difference for us. They have about the same value to me, so I respected them the same way when allocating them.",SOCIALNORM
R_6ekcmtycYXMVHJD,"Like said before the pens don't matter much to me, so I'd like to split them evenly.",SOCIALNORM
R_31fgDUEV4fyZFBv,I allocated the same proportion of money as of ballpoint pens to the other participant because I felt like it was a fair process. I do not have a pressing need for 5 extra ballpoint pens or 5 extra dollars and thought that it would be a kind gesture to share.,SOCIALNORM
R_7Fu3cilVl8t2LBi,I allocated out of the interest of fairness. Why do I deserve any more than her?,SOCIALNORM
R_5DZviTMJCc4mzxC,"I allocated the same because I feel that even split is fair, especially not knowing each other's circumstances. My reasoning is to try to treat everyone fairly, and the amount can be adjusted to be more equitable based on circumstances.",SOCIALNORM
R_6MLGD005V4oMhPA,"I allocated the same number of ballpoint pens as money to each different participant. I wanted to make things even and fair, so I split each item down the middle. The money required more thought and emotion behind my decision, however.",SOCIALNORM
R_1VBCcbo8kJWQRd3,I kept the same proportion of money as ballpoint pens. It made sense to keep it fair both ways we get the same amount of everything.,SOCIALNORM
R_31mqQNtXiaNDvyB,"The person that I met was nice and easy to talk to. So, I figured we should have an even split of both the pens and money.",SOCIALNORM
R_5bV3hF4RZdnCPPO,"Because, if the study gave us both 10 of each thing, and we were asked to allocate some to each other. It would make the most sense for us to split the 2 options because we would both leave with what we had. Also, since we have to distribute each item, and we don't know how much the other may need (more or less then me) it only makes sense to do an even amount.",SOCIALNORM
R_5pE6M5MtgyeOLMe,"I allocated a higher proportion of money than of ballpoint pens, but only by amount 1. Money is more valuable than a pen in my opinion. But I still could have allocated the same amount or almost equal, it does not make  much of a difference to me.",DESIRABILITY
R_37h7KeGM3lLFgTT,Because I think that splitting it half and half is the fairest way to handle that situation. Any other considerations would make it more complicated than it has to be.,SOCIALNORM
R_3YXuAls6aqx6HIa,I picked the same proportion because that's what's fair,SOCIALNORM
R_1Apjhgn7I9gIE3T,"It is the right and kind thing to do to be fair and give each of us the same amount, the pens are not that big of a deal I think, but for money we each get an extra $5 in our pockets that we did not have before",SOCIALNORM
R_1lZUsUPigHomyiZ,"Because money is more useful than the ball point pen for me. Then if I have the right the distribute it, I'll distribute them according to my own need.",DESIRABILITY
R_6HBNs1JOenfx2Kc,I didn't know what ball points was so there was really no point of really keeping it. I did keep the money because its free money.,OTHER
R_6o7pZVkZa6FIbhL,"money has more value is society, yet ballpoint pens still contribute to society. i decided to allocate 3 pens, but 0 dollars to my partner because i believe, from our conversation, that he contributed the respected amount to receive 3 pens, but 0 dollars",DESIRABILITY
R_1Eyj1iiInL4hlKz,"I allocated a slightly higher proportion of money than of ballpoint pens to the other participant because I think people would appreciate money more than they would ballpoint pens. They would be upset if I walked away with more money, but are less likely to be upset over a simple pen.",DESIRABILITY
R_6Nhr4PsJ8LEoe7a,I don't need the money but I wouldn't mind having a few extra pens.,SATIATION
R_7YJkkoFBcs1AhA5,There is no real incentive to taking more than my partner. It is not a big enough amount of either to feel the need to be greedy.,SOCIALNORM
R_3R9jIJa44nfs8pP,Money to me has more value so that is why i split it evenly with my partner. I have enough pens so that i why i gave all 10 to my partner.,SATIATION
R_3E4ndeq7iwlGRek,"Like I previously stated, I wanted to keep things equal. So, by giving both of us the same amount, it would be fair.",SOCIALNORM
R_3C28cmPxYJrTsSy,I gave no money and more ballpens because I don't know the other participant.,SOCIALNORM
R_7Q0KNcwFENdFYbS,"I do not know this person, and there is no incentive outside of this study, so splitting seems the most rational decision.",SOCIALNORM
R_6dmNDZNETS29MBO,"I allocated the SAME proportion of money as of ballpoint pens to the other participant because i felt it was fair to divide them equally. This way, bother my partner and I are gaining something out of this and neither party will get upset for having less than the other.",SOCIALNORM
R_7tsbJYkwDT0mrSg,I allocated the same proportion of money as of ballpoint pens to the other participant. I did this because it is a fair way to do things.,SOCIALNORM
R_7KLyh9zZONWoeQ1,"I valued the money over the ball point pens. So, I gave him a higher percentage of pens than money.",DESIRABILITY
R_7QGy7baxYxje71n,I gave the other person more ballpoint pens than money because I didn't want as many of the pens as I did the dollars.,DESIRABILITY
R_6CrcILUzdu3TwYh,"I allocated a higher proportion of money than of ballpoint pens based off necessity. I am currently and not sure if I ever was in need of ballpens. Splitting the money and giving the other person more pens was the best option for me. We are both able to benefits, and the other person will be content with how we split.",SATIATION
R_1rv3PwiOhWkCz1w,I allocated the same number of items to be fair and avoid confrontation,SOCIALNORM
R_1EL999ksllBioH9,"I allocated the same because they are both things that would be useful to me but could be useful to the other person.  If I had a bunch of pens and the other person needs some, I'd give them more, or if they were gel pens, but since I don't have a lot of pens, I'd like to keep some.   For the money as I said before I'm short on money but so is everyone so who am I to say my needs or more, I figured either way no one can be upset if it's an even, fair split.",SOCIALNORM
R_14issEJrXpDGDXT,"I allocated the same proportion of money as of ballpoint pens to the other participant. This is because nothing is being lost in this scenario, so I just feel that fairness is key.",SOCIALNORM
R_6eLgcCQkNvrgMrE,Same number because it seemed reasonable due to the circumstances. I would want to be treated the same way,SOCIALNORM
R_58ZH34UwsgOlua9,I gave him less ball point pens becuase I have a specific need for them. We have the same need for money to my knowlage so I gave us an equal amount of money.,SATIATION
R_7fD07WU2BHnrOE1,Balance is nice. 5 and 5 means we split the gains and both walk away happy.,SOCIALNORM
R_138O30aAad6sXFi,I allocated the same proportion for both because I thought it was the right thing to do for both of them.,SOCIALNORM
R_5AxZeYO1PZGBr8t,"I allocated the same amount of both as it could potentially be seen as rude giving out more pens, making them look less valuable to oneself. Giving out more money could be seen as a potential loss on the other side. It could definitely be rude to take more than the half for oneself in both cases.",SOCIALNORM
R_7U3AWsnOVMI7Fo8,I allocated the same proportion of money as of ballpoint pens because it was an even split,SOCIALNORM
R_7eOS2mSLrCD3gwh,"I allocated the same proportion of money and ballpoint pens because I did not deserve to have more over my partner so I wanted to keep it equal. If I gave her more money, it wouldn't have necessarily been equal because we both didn't do anything to deserve it.",SOCIALNORM
R_5Li2J2EWjSAXOkj,"I allocated the same proportion of money as ballpoint points because it doesn't matter what the object is, I would want to split it evenly so that everyone gets the same amount. Even though I was leaning to give myself more money, it didn't feel like the right thing to do.",SOCIALNORM
R_39P74NKaLpPLunL,I allocated the same proportion.,SOCIALNORM
R_6HzrYRfPUPGqzVQ,"Compared to money, the value I attain from have ten additional pens is significantly lower. By having more pens, I need to store them, and I get negligible value from them. Money is physically easy to store and has a value far beyond that of the pens.",FUNGIBILITY
R_3XV1lVKMJW4Vgk1,"I allocated the same amount and ballpoint pens and money. I was concerned with pure numbers, not the objects being represented. Both are things both of us can use in some way.",SATIATION
R_1VCOXoB5X9Kwg7o,"I gave a lower amount of money ($5) to the other participant since I thought it only fair we split the money since it has greater value than the pends. Also they got a higher quantity of pens since I truly do not need them unlike the money which I could currently use. In the end, the money has more value than a few pens.",SOCIALNORM
R_524x5XFRxXUcgVh,"I think it is more so based on morals rather than the actual item being given. If I am receiving something while being partnered up with someone, I feel that the right thing to do is to split whatever it is evenly.",SOCIALNORM
R_7F6HMSmBs1PtO0x,I did a lower amount of money than ballpoint pens because pens are easier to give away. I do not like giving cash away.,DESIRABILITY
R_7JKoyjKFQCvQdJP,"the both hold relativily low value. and i beleive for me and my partner, the difference of intrest we share for each is very low. if it were something she didnt like and i liked, i would be more likely to take more than half.",OTHER
R_3hrUXlugrtOAqh1,I have zero use for pens but she might. We both 100% could use money- so i split it even,SATIATION
R_5uVS7VdkVoTg8pn,"I allocated a lower portion of money than ballpoint pens to them because money is valuable to everyone and splitting it 50/50 makes sense. On the other hand, pens are not important to me but could be important to them so gave them more.",SOCIALNORM
R_5zMD7SzDZaj1s7v,"I allocated lower because I don't know this participant and I was being generous by giving them 3. I could have only given them one, but I didn't. Plus, why would a person need more than one ballpoint pen at a time?",OTHER
R_5M6QhD1h3m4GswV,money is something people care more about than pens so i want to be more fair,SOCIALNORM
R_7Gqh4Z8nvoQoRkB,"I allocated the same proportion of money as ballpoint pens because I think it is fair to split things 50/50. Especially because I don't know the other person, not only is it a good impression but it just seems morally fair to me. It is what I would like if someone else had the option to do the same towards me.",SOCIALNORM
R_53irJOPhVjnD9MR,"Same because it is the same thing. They are both considered to be ""items"" that were provided in equal number so you are able to split them.",OTHER
R_5mdDsNTPibpzaZJ,"I saw the money and pens as the same value, so I allocated them the same way.",FUNGIBILITY
R_78KJ0oTZhAcYIbn,My focus was on fairness. I split both decisions 50/50.,SOCIALNORM
R_3rGUaaqe7RNOrHw,"I allocated the same because I felt like it's the right thing to do. If someone else were making this decision for me, I'd want them to split it equally too, so that's why I chose to do so.",SOCIALNORM
R_6oyZ1KW1UbGQgoA,"I did LOWER because the money means more than the ballpoint pens. So, we can split the money, and he can have more ballpoint pens.",DESIRABILITY
R_1H8lUcum5vHILLj,I allocated the same proportion of money as ballpoint pens to the other participant because we would both get the same amount. It's the fairest option for the both of us and we also don't know each other.,SOCIALNORM
R_5mRFTejKaVw0SGJ,"No matter it's point or money, I'd like to distribute them with fairness and equity. If we earn the points or money through different efforts, I will distribute them through the number of efforts we put.",SOCIALNORM
R_7xPsyuCWOtI1yQ8,"myself experience is important, i don' t to share to much",OTHER
R_50NzY5Kw2QVWR45,"I allocated the same proportion because I didn't view the value of either to be extremely high and therefore felt it was ok to give an even amount away for both. If the pens were a top brand or it was like $1000, I probably wouldn't give 50/50.",SATIATION
R_5nZZZuO81zsf4GJ,"Ranging from fiscal and material wealth to property to healthcare, no one person is more deserving than another. The socialization we experience at a young age to try to ""carve out an extra piece of the pie"" for ourselves is sad. Individualism leads to putting down others for your benefit, whereas collectivism leads to a more prosperous community.",SOCIALNORM
R_6sdrMPZbbcjuwKb,I allocated the same proportion of money as of ballpoint pens to the other participant because I would have felt bad taking more money but I also do not need many pens. I also value a $1 bill and a ballpoint pen about the same.,SATIATION
R_1FLqGno7JDQAYq0,"Because she was very nice and seemed like a very honest individual, I am very fine with giving her the same amount of both money and pens. I think this keeps things even between us, since we are both giving individuals from first glance.",SOCIALNORM
R_5dKRT3FoisVustS,I did the same because in cost-benefit the pens and the ones are the same to me. I could buy a ballpoint pen for one dollar and I don't really need either. One dollar or one ballpoint pen are not really significant to me.,FUNGIBILITY
R_6lxDAcSVNbDT0M0,"I allocated both items evenly because It's only fair to share. If we discussed it and came to the conclusion one of us needed a resource more, my answer may differ. But, with no additional information I would split evenly.",SOCIALNORM
R_1I6x4xkaIgQyZCK,"i gave them more pens because i dont need them, and gave them no money because i wanted it for myself",SATIATION
